I0229 15:41:19.290870 164201 Oracle_NN.py:283] key:airplane,train_idx:0,train_slicer:2832,num:2832
I0229 15:41:19.291278 164201 Oracle_NN.py:284] key:airplane,train_idx:0,train_slicer:809,num:809
I0229 16:02:16.534268 164201 Oracle_NN.py:157] loss:0.040234272096390425, idx:1576, prediction shapetorch.Size([1, 1024, 3])
I0229 16:02:24.863651 164201 Oracle_NN.py:157] loss:0.055890761377419156, idx:1529, prediction shapetorch.Size([1, 1024, 3])
I0229 16:02:32.918455 164201 Oracle_NN.py:157] loss:0.0404245259334737, idx:1746, prediction shapetorch.Size([1, 1024, 3])
I0229 16:02:40.980309 164201 Oracle_NN.py:157] loss:0.05347026128059909, idx:387, prediction shapetorch.Size([1, 1024, 3])
I0229 16:02:48.985389 164201 Oracle_NN.py:157] loss:0.06278471587554685, idx:2189, prediction shapetorch.Size([1, 1024, 3])
I0229 16:02:57.066493 164201 Oracle_NN.py:157] loss:0.04157537003239716, idx:240, prediction shapetorch.Size([1, 1024, 3])
I0229 16:03:05.121791 164201 Oracle_NN.py:157] loss:0.033422366031070586, idx:2428, prediction shapetorch.Size([1, 1024, 3])
I0229 16:03:13.199760 164201 Oracle_NN.py:157] loss:0.11579796178864515, idx:996, prediction shapetorch.Size([1, 1024, 3])
I0229 16:03:21.298835 164201 Oracle_NN.py:157] loss:0.08594822417966609, idx:1976, prediction shapetorch.Size([1, 1024, 3])
I0229 16:03:29.597567 164201 Oracle_NN.py:157] loss:0.05497288264875369, idx:2306, prediction shapetorch.Size([1, 1024, 3])
I0229 16:03:37.621243 164201 Oracle_NN.py:157] loss:0.042650223115035885, idx:2614, prediction shapetorch.Size([1, 1024, 3])
I0229 16:03:45.856863 164201 Oracle_NN.py:157] loss:0.06101609516773112, idx:759, prediction shapetorch.Size([1, 1024, 3])
I0229 16:03:53.886121 164201 Oracle_NN.py:157] loss:0.041756360735145395, idx:1925, prediction shapetorch.Size([1, 1024, 3])
I0229 16:04:01.954020 164201 Oracle_NN.py:157] loss:0.05517943721959109, idx:1261, prediction shapetorch.Size([1, 1024, 3])
I0229 16:04:09.972071 164201 Oracle_NN.py:157] loss:0.05204993658034798, idx:304, prediction shapetorch.Size([1, 1024, 3])
I0229 16:04:18.089292 164201 Oracle_NN.py:157] loss:0.07612316345846837, idx:2748, prediction shapetorch.Size([1, 1024, 3])
I0229 16:04:26.228207 164201 Oracle_NN.py:157] loss:0.05697185291365699, idx:1583, prediction shapetorch.Size([1, 1024, 3])
I0229 16:04:34.297728 164201 Oracle_NN.py:157] loss:0.031668514444120346, idx:525, prediction shapetorch.Size([1, 1024, 3])
I0229 16:04:42.379660 164201 Oracle_NN.py:157] loss:0.06841127529281898, idx:2698, prediction shapetorch.Size([1, 1024, 3])
I0229 16:04:50.392643 164201 Oracle_NN.py:157] loss:0.05893711030236086, idx:1562, prediction shapetorch.Size([1, 1024, 3])
I0229 16:04:58.597159 164201 Oracle_NN.py:157] loss:0.03170473022469977, idx:463, prediction shapetorch.Size([1, 1024, 3])
I0229 16:05:06.651100 164201 Oracle_NN.py:157] loss:0.07730408271099395, idx:1165, prediction shapetorch.Size([1, 1024, 3])
I0229 16:05:14.764887 164201 Oracle_NN.py:157] loss:0.06566763406086212, idx:2312, prediction shapetorch.Size([1, 1024, 3])
I0229 16:05:22.970269 164201 Oracle_NN.py:157] loss:0.04478355942276002, idx:1822, prediction shapetorch.Size([1, 1024, 3])
